transaction_id,transaction_amount,transaction_hour,is_weekend,account_age_days,num_transactions_last_24h,avg_transaction_amount_30d,distance_from_home_km,is_foreign_transaction,merchant_category,payment_method,num_failed_attempts_last_hour,is_new_device,is_new_merchant,card_present,is_fraud
TXN100000,78.2,13,0,2115,3,313.46,18.73,0,electronics,debit_card,1,1,1,1,0
TXN100001,402.96,7,0,935,2,201.29,13.52,0,online_retail,digital_wallet,0,0,1,0,0
TXN100002,221.59,2,0,423,1,214.57,0.35,1,grocery,credit_card,0,1,0,1,1
TXN100003,158.9,10,0,1526,2,234.91,1.86,0,electronics,credit_card,0,0,0,1,0
TXN100004,24.09,6,1,923,1,354.73,7.46,1,grocery,digital_wallet,0,0,0,1,1
TXN100005,26.04,13,0,1305,2,164.12,3.37,0,grocery,credit_card,1,0,0,0,0
TXN100006,14.2,19,1,3205,1,283.13,60.16,0,gas_station,credit_card,1,0,0,1,0
TXN100007,295.26,13,0,720,4,72.94,0.72,0,online_retail,credit_card,1,1,0,0,0
TXN100008,142.57,13,1,2852,3,149.04,75.98,1,online_retail,digital_wallet,0,0,0,1,0
TXN100009,171.23,1,0,253,1,105.19,28.51,0,travel,credit_card,0,0,0,1,0
TXN100010,9.02,15,0,3516,2,48.32,11.2,0,online_retail,credit_card,3,1,1,0,0
TXN100011,582.43,10,1,2888,3,106.51,15.72,0,electronics,debit_card,0,0,1,0,1
TXN100012,275.13,2,1,3625,6,292.78,9.32,0,electronics,credit_card,0,1,0,1,0
TXN100013,46.71,5,0,939,3,51.13,19.68,0,online_retail,digital_wallet,0,0,0,0,0
TXN100014,37.13,18,0,2965,4,77.87,3.14,0,online_retail,digital_wallet,0,0,1,0,0
TXN100015,31.92,22,1,1807,1,171.21,1.95,0,electronics,debit_card,0,0,0,1,0
TXN100016,62.1,12,0,495,2,114.19,14.52,0,online_retail,debit_card,0,0,0,0,0
TXN100017,103.92,23,0,195,3,293.88,1.53,0,other,debit_card,0,0,1,1,0
TXN100018,99.82,4,0,134,4,423.0,5.97,0,restaurant,credit_card,1,0,0,1,0
TXN100019,56.29,7,0,1430,1,166.04,51.22,0,other,debit_card,1,0,0,1,0
